id,titulo,subtitular,categoria
061722centro,temen mas derrumbes,retiro de tierra en la via afecto por cinco horas en cuatro caminos,Riesgos y Emergencias
061722sur,se juegan la vida,vecinos se arriesgan a cruzar el rio petacalapa ante la falta de puente,Proyectos de Infraestructura
061722norte,mas de 35 aldeas en alerta,rio motagua sube de nivel y alcanza 24 pies de altura,Comunidades
061722oriente,despiden a pilotos entre aplausos,transportistas varados hace una semana por fin pudieron cruzar la quebrada petapilla,Comunidades
061722guate,filas interminables,el transito se incremento en san miguel petapa tras el hundimiento ocurrido en el km 15 de la ruta al pacifico,Comunidades
061822nacional,pesadilla en villa nueva,pobladores que viven cerca del hundimiento estan con temor de que ocurra una tragedia mayor algunos hablan de vender sus propiedades y negocios,Accidentes y Tragedias
061822occidente,megaproyecto costara q150 millones,centro comercial tendra capacidad para 60 locales y 300 parqueos,Comunidades
061822guate,deberan esperar dos meses,segun autoridades calles danadas en san jose pinula asi como rn 18 y r d6 podran ser reparadas hasta agosto,Comunidades
061922nacional,mas grande,fracasa primer intento de rellenar caverna en villa nueva ruta al pacifico paralizada y se agudizo el riesgo para vecinos del area,Comunidades
062022nacional, bloqueada la carretera interamericana,derrumbe en el kilometro 24 interrumpe el acceso a la capital desde occidente lluvia causa destrozos en cinco departamentos,Accidentes Viales
062022occidente,celebran corpus christi,15 mil feligreses participan en procesion y estaciones para recordar origen de la eucaristia,Comunidades
062022centro,solemnidad al corpus christi,catolicos acompanan recorrido del santisimo y piden bendiciones,Comunidades
062022sur,reafirman su fe,recorrido de corpus christi ruega por la paz y el bienestar de la poblacion,Seguridad y Bienestar
062022norte,socavamiento,colapsa tuberia de aguas negras en barrio la 14 calle,Comunidades
062022oriente,rio destruye puente,el afluente el tambor socavo estructura que conecta cabanas con el progreso,Proyectos de Infraestructura
062022guate,viven en zozobra,familias temen que correntada del rio platanitos arrastre sus viviendas en el sector petapabajo san miguel petapa,Comunidades
062122nacional,sufrido ingreso a la capital,por derrumbes y hundimientos automovilistas hacen hasta seis horas para entrar o salir de la ciudad,Riesgos y Emergencias
062122occidente,pollo sube q3 mas,libra de pechuga cuesta q17 y con menudos q15 atribuyen aumento a precios de gasolina y concentrado,Comunidades
062122centro,tardan mas de tres horas para pasar,viajeron y vecinos con complicaciones para movilizarse en la interamericana por derurmbes en sumpango y san lucas,Comunidades
062122sur,nunca les hicieron caso,despues de solicitarlo durante 35 anos vecinos de san isidro arreglan la 20 avenida por su cuenta,Comunidades
062122norte,continua en alerta,insivumeh pide precaucion a las cruces sayaxche y la libertad por saturacion de suelos,Comunidades
062122oriente,suspenden visitas,hospital regional de zacapa espera disminuir contagios evitando contacto entre paciente y familiares,Educacion y Salud Comunitaria
062122guate,retiran obstaculos,opiniones encontradas se manifiestan por plan de ordenamiento en la via publica de san pedro ayampuc,Comunidades
062222nacional,gringos al rescate,gobierno declara estado de calamidad en ocho departamentos mientras ingenieros del comando sur del ejercito de eeuu recomendaran puente a usar en hundimiento de la ruta al pacifico,Proyectos de Infraestructura
062222occidente,4 derrumbes en 24 horas,precaucion por deslizamientos en tramo de 10 kilometros entre aldeas pojopn y fraternidad,Desastres Naturales
062222centro,hundimiento se agranda mas,socavamiento en kilometro 74 sigue y viajeros temen que tramo carretero colapse por las lluvias,Comunidades
062222sur,ruta intransitable,tramo a caserio santa ines espera reparacion desde hace 30 anos,Comunidades
062222norte,carretera se parte,tres aldeas en alerta por la crecida del rio motagua,Accidentes Viales
062222oriente,aun no hay paso,preocupacion de transportistas y comerciantes porque se caiga el resto del asfalto,Comunidades
062222guate,obra de donaciones,cuarta etapa de reconstruccion del centro historico de mixco sigue con edificacion de teatro de bellas artes sin dar monto de inversion,Comunidades
062322nacional,sube el precio del maiz,el quintal aumento q50 lo que representa un duro golpe a la economia pues es la base principal de la alimentacion de la poblacion guatemalteca,Comunidades
062322occidente,el maiz sube q50,quintal del grano cuesta q250 por baja produccion y alto costo de la gasolina,Comunidades
062322centro,mal clima persiste,habilitan albergues por copiosas lluvias que afectan deparamentos de sacatepequez y chimaltenango,Comunidades
062322sur,tuvieron cuatro anos para arreglarlo,agujero se amplio hasta devorar dos carrilers en caserio santo domingo,Religion y Tradicion
062322norte,acribillan a comerciante,se cree que era extorsionado,Comunidades
062322oriente,podria quedar soterrada,tras el derrumbe de un paredon de tierra en el km 182 ruta podria perderse completamente,Riesgos y Emergencias
062322guate,temen al invierno,aguaceros aumentan el riesgo de deslaves en los asentamientos monemoria y otras localidades de villa canales,Comunidades
062422nacional,encuentran nueva caverna,descubren otra cueva bajo la carretera al pacifico,Accidentes Viales
062422occidente,la feria esta de vuelta,hoy empiezan festejos en honor a san pedro apostol habra procesion conciertos y mas,Comunidades
062422centro,vuelven a robar,delincuentes sustraen utensilios de cocina microondas y equipo de sonido de escuela,Educacion y Salud Comunitaria
062422sur,temor por asaltos,vendedores y choferes de buses son victimas de robos en el caserio santa ines,Crimenes
062422norte,motagua alcanza 45 viviendas,crecimiento del rio afecta las aldeas cacao frontera y mojanales,Comunidades
062422oriente,dragan los limones,trabajan la quebrada tras la crecida que afecto a siete familias esta semana,Comunidades
062422guate,quieren dejar plaza sin ventas,municipalidad de san pedro ayampuc habilita nuevo mercado y comerciantes se niegan al traslado,Comunidades
062522nacional,devastacion,las lluvias en el pais han dejado puentes destruidos casas inundadas y pasos cerrados asi se observan desde el cielo los danos en todo el territorio,Proyectos de Infraestructura
062522occidente,arrancan festejos,con alegorico desfile empieza la feria en honor a san pedro apostol,Comunidades
062522guate,celebran con jubilo,devocion a san juan bautista empezo en la aldea estancia grande donde se construyo la primera iglesia de san juan sacatepequez,Religion y Tradicion
062622nacional,caen los cucules,la policia los persiguio por 4 kilometros en la autopista a puerto quetzal y al coparlos les decomiso fusiles ar 15 y ak 47,Comunidades
062722nacional,vendedora atropellada,conducia ebrio e impacto contra familia,Comunidades
062722occidente,transitan en lodo y baches,transportistas podrian bloquear ruta a frontera la mesilla si no reparan 53 km en mal estado,Comunidades
062722centro,inundacion afecta a las zonas 1 y 5 ,vecinos de los sectores a b y c de la colonia alameda sufren por las anegaciones,Comunidades
062722sur,flotaba en el suchiate,balseros se sorprenden al hallar cadaver en el rio,Comunidades
062722norte,temen quedar bajo el agua,habitantes de cinco comunidades de morales piden que se construyan gaviones para contener el rio motagua,Comunidades
062722oriente,la identifican por el pelo,cuerpo a medio devorar por zopilotes coincide con descripcion de menor desaparecida hace diez dias,Comunidades
062722guate,abunda basura,piden denunciar a quienes tiren desechos en lugares prohibidos para evitar la contaminacion y las inundaciones en villa canales,Comunidades
062822nacional,macheteados por defender a su hija,padres resultan heridos en brazos y rostro cuando evitan que dos hombres la violaran,Accidentes y Tragedias
062822occidente,conciertazo en el parque,2 mil personas bailan al ritmo del grupo rana y otros artistas en feria patronal,Comunidades
062822centro,agua se filtra en 12 aulas,maestros piden se repare el techo del plantel ya que las clases interrumpen cuando llueve,Comunidades
062822sur,lluvia dana la calle principal,dos kilometros de calle del caserio monterrey presentan hundimientos,Comunidades
062822norte,colapsan biobardas,limpian rio motagua para evitar que bahia de amatique se contamine mas,Comunidades
062822oriente,le hacen a un lado,derrumbe de gran magnitud en el km 187 de san juan ermita dificulta el transito en ambos sentidos y solo un carril esta habilitado,Riesgos y Emergencias
062822guate,vias olvidadas,los agujeros complican el transito en el sector de la colonia prados de villa hermosa san migual petapa,Comunidades
062922nacional,tragedia al menos 7 guatemaltecos entre las victimas,el ultimo dato contabiliza 51 migrantes que murieron asfixiados por el calor sin agua y rociados de consome,Accidentes y Tragedias
062922occidente,arrollan a marimbista,don nicolas choz exmiembro de la marimba de patachaj iba caminando en la orilla de la carretera,Accidentes Viales
062922centro,en el olvido desde hace 40 anos,pobladores de la alameda sufren por el polvo y el lodo,Comunidades
062922sur,ruta a la frontera en abandono,carretera con baches afecta la movilidad de 10 mil vehiculos por dia entre catarina y malacatan,Accidentes Viales
062922norte,50 anos sin agua,machacas veracruz y las flores tendran acceso al servicio,Comunidades
062922oriente,se defiende de emboscada,tres heridos fue el resultado de un ataque armado en tramo que conecta a aldea shusho medio y shusho arriba,Accidentes y Tragedias
062922guate,demandan drenajes con urgencia,vecinos se preocupan por contaminacion que generan las fosas septicas en lo de coy mixco,Comunidades
063022nacional,vamos al mundial,guatemala vence a mexico y se clasifica a su segunda copa del mundo en la historia,Comunidades
063022occidente,conciertazo en la feria,6 mil personas cantan a todo pulmon en presentacion de bohemia suburbana,Comunidades
063022centro,estan de fiesta,san pedro las huertas celebra feria y catolicos piden a patron por el cese de la pandemia,Comunidades
063022sur,arrollan a dos menores de edad,conductor se da a la fuga luego de embestirlos,Riesgos y Emergencias
063022norte,18 kilometros en el abandono,exigen que retomen proyecto de balasto en 12 comunidades,Comunidades
063022oriente,ensucian el rio,inconscientes usan caudal de afluente san jose como basurero clandestino,Comunidades
063022guate,reciben ofertas,concurso esta abierto a empresas interesadas en construir el puente belice ii que pretende agilizar el accesoy salida a la ruta al atlantico,Proyectos de Infraestructura
070122nacional,aparecen los payasitos,en paz descanses hermanos migrantes,Comunidades
070122guate,sufren por contaminacion,toneladas de desechos solidos arrastra el rio las vacas hacia la jurisdiccion de chinautla donde se sepulta la esperanza de vivir en mejores condiciones,Comunidades
070122norte,seguiran bloqueos,exigen proyectos de mejoramiento vial en 12 comunidades,Comunidades
070122sur,cae de tejado,trabajador cayÃ³ de un tejado de una construcciÃ³n al levantar un bote de concreto,Comunidades
070122oriente,impacto mortal,motorista muere tras embestir a mujer que iba en bicicleta,Comunidades
070122occidente,erridacan mariguana,destruyen 37 mil matas en momostenango valoradas en Q14 millones,Comunidades
070122centro,confirman feria patronal,celebraciones en honor a santiago apostol empiezan hoy con presentacion del ballet folklorico del inguat,Comunidades
070222nacional,charquito y chispita mueren estrangulados,"en medio de amenazas por atentar  en los velorios, familiares despiden a artistas y piden justicia para esclarecer el caso",Inseguridad y Conflictos
070322nacional,noches de caritas tristes,despiden a chispita autoridades confirman que autores del asesinato estan en prision,Criminalidad y Violencia
070422nacional,matan a tiros a asaltantes,ladrones muerden a victimas,Comunidades
070422guate,peligro latente,albergues se habilitaran para responder en casos de emergencia por deslizamientos,Desastres Naturales
070422norte,casi alcanza los 30 centimetros,esperan baje nivel del agua en el centro de la ciudad porteÃ±a,Comunidades
070422sur,tardan hasta dos horas,trasnportistas paralizaron el trafico en las aduanas de guatemala y el salvador en protesta por el tiempo de los tramites,Comunidades
070422oriente,esquivo uno y se fue en otro,"hombre de 22 aÃ±os iba a su casa cuando por culpa de los baches de la carretera, resulto malherido",Accidentes Viales
070422occidente,le explota en la cara,hombre resulta herido por mortero durante fiesta y es hospitalizado,Educacion y Salud Comunitaria
070422centro,sufre hipotermina,hombre que escalo el volcan acatenango es rescatado con vida tras extraviarse,Comunidades
070522nacional,papa lo golpea por robarle,toma dinero sin permiso de progenitor y al ser corregido termina en hospital responsable no fue capturado,Educacion y Salud Comunitaria
070522guate,viven en zozobra,vecinos de brisas en san pedro ayampuc i temen por sus vidad y otros han dejado sus viviendas por incremento de violencia,Criminalidad y Violencia
070522norte,fortalecen la borda,colocan costales con tierra para proteger a once aldeas del rio motagua,Comunidades
070522sur,Mataron a lipito,un tiro en la cabeza mientras compraba en una tienda dejjo a sus dos hijos huerfanos,Comunidades
070522oriente,viven en la basura,adultos mayores y menores de edad sacan para el sustento diario trabajando en el vertedero zacapa,Comunidades
070522occidente,a punto de colapsar,diez mil habitantes podrian quedar incomunicados puente bailey tiene daÃ±os severos por lluvias,Proyectos de Infraestructura
070522centro,aprovechan asueto,arribo de turistas favorece a negocios y comercio informal en la ciudad colonial,Comunidades
070622nacional,coyotes llevaban a peligrosos mareros,transportaban a cinco pandilleros salvadoreÃ±os que intentaron hacer pasar por familiares,Riesgos y Emergencias
070622guate,tienen un trabajo dificil,"berrenderos sanjuaneros deben soportar inclemencias del clima, malos olores y hasta que les roben sus implementos",Comunidades
070622norte,muere maestro,choca por ir a excesiva velocidad y bajo efectos de licor,Comunidades
070622sur,amarga tarde de alcohol,dos hombres bebian juntos y uno le disparo al otro despues de discutir en asuncion mita,Comunidades
070622oriente,pusieron de su dinero,13 comunidades gastaron Q170 mil para pagar la maquinaria y reconectar el paso en la aldea la torera tras crecida del rio san jose,Comunidades
070622occidente,nadie les daba trabajo,sacar adelante a su familia era el sueÃ±o en comun de dos jovenes marquenses que murieron en furgon en texas,Comunidades
070622centro,investigan abuso en adolescente,estudiante fue violada cuando se dirigia a estudiar,Comunidades
070722nacional,madre e hijos terminan presos,hermanos fueron capturados cuando asaltaban a un repartidor una mismo situacion se dio contra la progenitora de estos por impedir la accion policial,Deporte
070722guate,ya piensan en el bono,expertos aconsejan a quienes reciben este incentivo pagar deudas o invertirlo de la mejor manera,Comunidades
070722norte,recogen 400 toneladas,baja el nivel del rio motagua y 40 trabajadores aprovechan para retirar basura,Comunidades
070722sur,cae por extorsion,comerciante seÃ±alan a delmy monte quien fue capturada en la capital,Comunidades
070722oriente,rezan por melisa,familiares y amigos recuerdan a joven asesinada hace un aÃ±o,Comunidades
070722occidente,todo listo para fiestas julias,anuncian festejos a virgen del carmen,Comunidades
070722centro,mantienen monitoreo,invumeh informa que volcan de fuego presenta explosiones moderadas y fuertes,Comunidades
070822nacional,segunda vez que intenta matar a su expareja,fue capturada por la policia al pretender nuevamente terminar con la vida de su exconviviente,Comunidades
070822guate,riesgo continua,al menos tres locales del mercado numero 3 y parte de un instituto basico podrian desplomarse,Comunidades
070822norte,decomisan armas y municiones,investigaran quien envio la bolsa desde estados unidos y quien la recibiria en la capital,Religion y Tradicion
070822sur,temen desplome,lluvias intesifican hundimiento que empezo hace dos aÃ±os en estructura que da acceso a ruta 23,Comunidades
070822oriente,subio el huevo pollo y carne,gasolina causo aumento en el costo de productos,Comunidades
070822occidente,luto en tejutla,declaran tres dias de duelo por muerte de cinco jovenes en furgon en texas eeuu,Comunidades
070822centro,q15 millones en indemnizacion,administracion municipal pasada despidio a 55 empleados que estaban sindicalizados,Comunidades
070922nacional,mueren cuando hacian flete a la capital,camion que salio de huehuetenango se quedo sin frenos persona que pidio jalon quedo herida,Comunidades
071022nacional,lo matan frente a la casa de su expareja,visitaba esta zona seguido por lo cual se cree que fue un ajuste de cuentas,Comunidades
071122nacional,esperaban a esposos,asesinados eran papas de supuesto pandillero detenido investigan relacion con muerte de payasitoss,Comunidades
071122guate,disfrutan de la feria,despues de dos aÃ±os de ausencia cientos de vecinos comparten coloridad tradicion en el cerrito del carmen,Comunidades
071122norte,invitan a conocer,implementan nuevo atractivo en el mundo aeropuerto mundo maya,Comunidades
071122sur,chocaron de frente,pareja termino con heridas tras estrellarse con un vehÃ­culo en la entrada a san juan de arana,Comunidades
071122oriente,comienzan a abonar,agricultores de chiquimula aprovechan para fertilizar su milpa,Comunidades
071122occidente,soÃ±aba con una casa digna,donis galvez de 19 aÃ±os abandono sus estudios y se fue al norte pero murio en el camino,Comunidades
071122centro,piden bendicion,sagrado corazon de jesus recorre mercado municipal y locatorios lo veneran,Comunidades
071222nacional,acusan a paston de ser marero,capturan y expulsan de el salvador a victor hugo linares chua,Comunidades
071222guate,esfuerzos son en vano,vecinos denuncias que en la ruta que conduce a esta localidad se contabilizan al menos 25 basureros clandestinos,Comunidades
071222norte,750 agentes disponibles,incrementan seguridad en peten por el pago del bono 14,Seguridad y Bienestar
071222sur,ayuda legendaria,tras 15 aÃ±os y 22 meses de vivir entre laminas y cartones una viuda su hoja y nieto tienen casa nueva gracias a grupo cristiano,Comunidades
071222oriente,buscan comida de la basura,falta de empleo formal en aldea palo amontonado tiene a familias comiendo en vertedero,Comunidades
071222occidente,murio en el desierto,tres aÃ±os despues familia se entera de que joven que amigro esta muerto piden ayuda para repatriar restos,Accidentes y Tragedias
071222centro,atrapados por el agua,veinte familias se vieron afectadas por inundacion tras colapso de tragantes en colonia chijopin,Comunidades
071322nacional,madre permitia agrasion sexual contra hijas y sale en libertad,mujer aprobaba que su primo abusara de las menores juzgado los deja ir y reprograma audiencia,Comunidades
071322guate,abarrotan el parque,inquilinos del mercado piden que retire comerciantes informeles,Comunidades
071322norte,servicio de taxi sube de q5 a q8,molestos por alza en el pasaje hacia el puerto de santo tomas castilla,Religion y Tradicion
071322sur,tragico golpe,mujer muere tras ser embestida por un picop,Comunidades
071322oriente,ya se puede pasar,el deslizamiento que paso tenia bloqueado el paso de la union al gualan fue removido,Desastres Naturales
071322occidente,arrancan las fiestas julias,eleccion de princesas y reina de la feria da inicio a festejos en honor a virgen del carmen,Comunidades
071322centro,ya viene la feria,200 inquilinos venderan por tres semanas en los alrededores del parque por feria patronal,Comunidades
071422nacional,machetean a abuela y nieta,fueron a comprar viveres cuando dos hombres salieron de matorrales en area desolada y las atacan,Comunidades
071422guate,exigen justicia,dolor e indignacion en el caserio chivoc por el asesinato de ana letizia joven trabajadora quien deja tres niÃ±os en orfandad,Criminalidad y Violencia
071422norte,vecino evita robo,se enfrenta a delicuentes impide que se lleven la mercaderia y los ladrones escapan,Crimenes
071422sur,por poquito,tres personas quedaron heridas al volcar un vehiculo que iba para aldea monte verde,Comunidades
071422oriente,venian de drenar pulmon de su hija,taxi que volvia de la capital fue embestido por picop en la jacobo arbenz,Comunidades
071422occidente,sobrevive de milagro,hombre cayo de hondonada de 25 metros cuando estaba cortando arboles,Comunidades
071422centro,empiezan a instalarse,15 juegos mecanicos estarian comenzando a operar desde este sabado,Comunidades
071522nacional,masacran a familia,asesinatos atacan a machetazos a seis personas cuatro mueren y dos sobreviven,Criminalidad y Violencia
071522guate,hasta en el cementerio,vecinos denuncian que mas de cien tumbas se estan hundiendo,Comunidades
071522norte,la acusan de matar a pandillero,hombre de 22 aÃ±os capturado diez horas despues de disparar contra supuerto marero,Comunidades
071522sur,hallan cuchillos y celulares,viven con lujos en el centro penal por lo que seguiran las requisas,Comunidades
071522oriente,lluvia les quita el techo,familia de usumatlan pide laminas para rehacer su vivienda,Comunidades
071522occidente,no baja la gasolina,galon sigue en q45 en diez municipios de la region norte,Comunidades
071522centro,buscan a delicuentes,fuerzas combinadas patrullan casco urbano y area rural para prevenir asaltos,Comunidades
071622nacional,pierde la vida al volante,sicario le hace la parada y cuando piloto abre la puerta le dispara,Criminalidad y Violencia
071722nacional,triste despedida a migrantes,aldea de nahuala despide a pascual guachiac victima del furgon de la muerte,Comunidades
071822nacional,bono 14 activado,guatemaltecos salen a las calles comercios y puntos de diversion tras pago que dio movimiento a la economia,Comunidades
071822guate,atieden a mas de 48 mil personas,desde el proyecto dr movil del ministerio de salud y la comuna capitalina ha brindado atencion medica gratuita a vecinos de 12 zonas,Seguridad y Bienestar
071822norte,cierran anillo externo,prohiben paso hasta que baje el nivel del lago peten itza,Comunidades
071822sur,tragedia familiar,dos primos salieron en moto derraparon y uno de los dos fallecio,Accidentes y Tragedias
071822oriente,paso lento pero seguro,con puente de petapilla termino la fila de 20 minutos que se hacia tras su colapso,Proyectos de Infraestructura
071822occidente,desfile cierra feria,leones ya tienen sus garras afiladas para buscar ascensos de nuevo,Comunidades
071822centro,disfrutan de feria nacional,gozan fuestas reales con actividades sociales deportivas y juegos mecanicos en el centro historico,Comunidades
071922nacional,cinco puentes por q139 millones,seran utilizados para reponer los daÃ±ados como en villa nueva diputados seÃ±alan al alcalde javier gramajo de retrasar los trabajos de reparacion,Proyectos de Infraestructura
071922guate,por fin los escuchan,desde 1999 cuando la colonia lomas de azacualpilla fue fundada los vecinos han esperado que comuna asfalte las calles,Comunidades
071922norte,se apaga la voz,radiooyentes despiden a elder pineda quien fue baleado el 5 de julio y murio en su tercera cirugia,Comunidades
071922sur,caravana termina en tragedia,amigos volvian a sus hogares desde los esclavos y uno fallecio,Accidentes y Tragedias
071922oriente,obtienen agua con los rieles,familias del caserio el oasis pagan q30 mensuales el cocode para recibirla en toneles,Comunidades
071922occidente,mato a golpes a su esposa,ligan a proceso penal a jonathan cubur acusado de dar una paliza a rubi palacion quien murio en el hospital,Educacion y Salud Comunitaria
071922centro,retoman trabajos despues de un mes,continua mejoramiento de 9 kilometros de camino que lleva al tejar,Comunidades
072022nacional,azotado por robar chompipe,carlos caal se salvo de ser linchado por una turba luego de que fuera sorprendido hurtando aves de corral en la aldea del rosario,Comunidades
072022guate,construccion lleva tres aÃ±os,vecinos de la zona 8 piden a las autoridades que antes de que finalice el aÃ±o por fin terminen planta de tratamiento,Comunidades
072022norte,dejan a 60 niÃ±os sin refaccion,roban estufa e implementos de cocina de la eorm de educacion especial semillitas de la esperanza,Comunidades
072022sur,lluvias inundan las joyas,22 familias s even afectadas por quinto aÃ±os consecutivo,Comunidades
072022oriente,deben esperar un mes,limpieza de derrumbe en la ruta entre san jose la arada y quimula no evitara que sigan incomunicados,Riesgos y Emergencias
072022occidente,lo torturaron,no fue identificado hombre hallado muerto en zona 5 victimarios le cortaron dos dedos y oreja,Accidentes y Tragedias
072022centro,q19.5 millones en abandono,costo proyecto no ha sido entregado por autoridades,Comunidades
072122nacional,explota coheteria,estallido deja dos menos fallecidas y una con graves quemaduras,Comunidades
072122guate,espera llega a su fin,luego de diez meses de construccion paso a desnivel en el sector conocido como el distribuidor sera inagurado este dia,Comunidades
072122norte,limpian tres toneladas de basura,quieren evitar inundaciones en mas de 600 casas de los barrios la esperanza y las torres,Comunidades
072122sur,lo detienen por causar accidente,hombre de 50 aÃ±os aprehendido luego de que un motorista falleciera tras estrellarse con un taxi,Accidentes y Tragedias
072122oriente,resbalo hacia su muerte,albaÃ±il de 28 aÃ±os fallecio al caer de construccion luego de tocar cables de alta tension,Comunidades
072122occidente,aparatoso percance,cinco personas resultan heridas en accidente causado por camionetilla que se paso al carril contrario,Accidentes Viales
072122centro,sepultan a pareja,triste adios a norma chacach y jose socop cuyos cadaveres fueron encontrados en patzun,Comunidades
072222nacional,roza cables y se electrocuta,descarga electrica de 12 mil voltios le quita la vida a albaÃ±il,Comunidades
072222guate,vecinos viven en riesgo,diez colonias que se ubican en la orilla del rio michatoya estan a expensas de que este se desborde e inunde todo a su paso,Comunidades
072222norte,turismo por los cielos,en los primeros 6 meses de 2022 la misma cifra de vuelos de 2021 en el aeropuerto mundo maya,Comunidades
072222sur,no ira al rabin ajaw,princesa xinca se perdera el festival por falta de recursos economicos,Comunidades
072222oriente,15 dias sin levantar derrumbe,deslave que obstruye carril en la ruta a la aldea la laguna aun sin retirar,Riesgos y Emergencias
072222occidente,despiden a rosita,familiares y amigos sepultan a joven chiantlega que murio en desierto de texas cuando buscaba el sueÃ±o americano,Comunidades
072222centro,hace 4 aÃ±os se dejo de construir,edificacion de instituto comenzo en 2018 y autoridades anuncian que se retomara dentro de un mes,Comunidades
072322nacional,asesinado cuando repartÃ­a pan,una de las hipotesis asegura que fue baleado por no pagar extorsion,Comunidades
072422nacional,explosion mortal,dos primos menores de edad perecieron entre las llamas causasdas por el combustible que derramo un camion cisterna,Comunidades
072522nacional,carrera historica,el guatemalteco luis grijalva finaliza cuarto en el mundial de atletismo y es el mejor de america,Deporte
072522guate,fluyen los desechos,piden a las autoridades investigar a los causantes de tanta contaminacion,Comunidades
072522norte,cuatro muertos en un mes,hermanos pegan contra base de concreto en el puente del rio creek negro,Proyectos de Infraestructura
072522sur,siguen tapando el paso,camion aplastado por arbol en la ruta de quimulilla a pasaco aun es obstaculo,Comunidades
072522oriente,causa multiple colision,chofer de camion pierde el control y se estrella contra cuatro vehiculos en la jacobo arbenz,Comunidades
072522occidente,nueva hija del rey jacalteca,alma irene lopez mendoza elegida entre 85 candidatas a rabin ajaw en coban siete huehuetecas han ganado el cetro,Comunidades
072522centro,498 aÃ±os de fundacion,celebra con alborada y concierto musical la creacion de municipio,Comunidades
072622nacional,le quitan las orejas por cambiar de cancion,hombre puso musica de los temerarios en cantina esto molesto al resto y lo atacaron con pedazos de botella,Comunidades
072622guate,pandilleros toman territorio,"desde que la subestacion de la pnc se retiro de lomas de azacualpilla, los vecinos deben",Comunidades
072622norte,se salva a tiempo,bomberos intervienen y apagan las llamas del picop que tuvo,Comunidades
072622sur,emboscados,tres hombres fueron perseguidos por cuatro mas  luego de una riÃ±a en un palenque,Comunidades
072622oriente,fiesta con los patronos,fieles celebraron con todo a santiago apostol y santiago de los caballeros,Comunidades
072622occidente,cuidado en vuelta del payaso,catorce accidentes se han registrado este aÃ±o en esta curva con un saldo de diez heridos,Seguridad y Bienestar
072622centro,dedican fiesta al patrono,celebran misa en honor a santiago apostol y alumnos de 30 planteles participan en desfile,Religion y Tradicion
072722nacional,madre e hija salen expulsadas de microbus,piloto intento esquivar a peaton que se atraveso al virar una seÃ±ora y su niÃ±a salieron disparados al pavimento,Comunidades
072722guate,corren a toda velocidad,provial y el departamento de transito de la pnc intensifican operativos para multar a quienes participan en carreras clandestinas,Comunidades
072722norte,murio camino a eeuu,esperaron 25 dias para enterrar a migrante que viajo por un mejor futuro,Comunidades
072722sur,tiran el puente,el nuevo puente trapichitos se empezara a construir tras mes y medio desde la crecida del rio culima,Proyectos de Infraestructura
072722oriente,el mas afectado por la desnutricion,tres comunidades del municipio entre las mas aquejadas opr 319 casos en menores de dos aÃ±os,Comunidades
072722occidente,se salva de morir,dueÃ±a de negocio no se encontraba cuando trailer llevaba cemento se quedo sin frenos y destruyo vivienda,Comunidades
072722centro,devocion a santa ana,catolicos reciben bendicion de su patrona y disfrutan de feria,Comunidades
072822nacional,capturado por pornografia infantil,hombre que laboraba en una empresa de informatica fue detenido por haber recibido material grafico de menores,Comunidades
072822guate,feliz dia del motorista,cada dia mas personas optan por las motocicletas como medio de transporte para ahorrar tiempo y dinero,Comunidades
072822norte,pego de frente,camion de volteo salio sin revisar y deja a motorista sin vida,Comunidades
072822sur,cae a 8 dias del crimen,hombre de 30 aÃ±os detenido acusado de asesinar a otro el 20 de julio,Criminalidad y Violencia
072822oriente,choco con trailer,hombre de 50 aÃ±os se estrello con las llantas traseras de camion en la jacobo arbenz,Comunidades
072822occidente,celebran a lo grande,cinco mil vecinos cantan y bailan con los herederos de mexico y grupos nacionales en feria patronal,Comunidades
072822centro,no pondran las maquinas,consejo nacional para la proteccion de la antigua frena proyecto de gimnasio de la comuna por carecer de licencia,Comunidades
072922nacional,se roba maquinita por no darle el premio,molesta porque perdio el dinero del pasaje decidio llevarse la tragamonedas que estaba instalada en una tienda,Comunidades
072922guate,solo fueron promesas,el 5 de junio se inauguraron los trabajos de reparacion de tramo sin embargo los vecinos solo han visto las maquinas y nada de avances,Comunidades
072922norte,sigue inundado el sur del municipio,desde el fin de semana ya no bajo el nivel del agua afectando 78 familias,Comunidades
072922sur,tengo miedo cuando llueve recio,a sus 70 aÃ±os doÃ±a adela esta a expensas de perderlo todo por las inundaciones en la aldea el toro,Comunidades
072922oriente,en abandono desde hace 6 aÃ±os,vecinos del barrio minerva exigen reparacion de la via al hospital de guastatoya,Educacion y Salud Comunitaria
072922occidente,viviendas se inundan,seis familias son afectadas tras fuertes aguaceros campo de futbol y auxiliatura tambien quedan anegados,Deporte
072922centro,15 nacimientos se han secado,deforestacion y cambio climatico han venido a afectar manantiales desde hace diez aÃ±os,Comunidades
073022nacional,lo asesisan por no entrar a la mara,caminaba de la mano con su hija de 4 aÃ±os cuando pandilleros le dispararon,Comunidades
073122nacional,actividad religiosa termina en tragedia,picop donde viajaba un grupo de personas se queda sin frenos y cae en un barranco lo cual deja cuatro fallecidos y 11 heridos,Accidentes y Tragedias
080122nacional,niÃ±a muere aplastada por arbol,iba con su familia hacia su casa capturan a dos hombres que lo estaban talando,Comunidades
080122guate,esperan feria con alegria,con la llegada de agosto actividades religiosas y comerciales por la asuncion con un hecho,Comunidades
080122norte,aquÃ­ para cuando,proyecto de pavimentacion que beneficia a seis comunidades recibe curioso nombre,Comunidades
